NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"23 Aug 2018 ","10:35:42",
CHAN,MEAS,FORMAT
1,Z:R,LIN_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
30000,100000000,
POINTS, POWER, IF_BW
1601,0E0,3700
FREQUENCY,UNITS,
Hz,U,
30000, 1.4605E-1,
92481, 2.991E-1,
154963, 5.7214E-1,
217444, 7.7377E-1,
279925, 9.6027E-1,
342406, 1.201E+0,
404888, 1.4461E+0,
467369, 1.6628E+0,
529850, 1.8871E+0,
592331, 2.0844E+0,
654813, 2.3092E+0,
717294, 2.5322E+0,
779775, 2.7543E+0,
842256, 2.9484E+0,
904738, 3.1788E+0,
967219, 3.3915E+0,
1029700, 3.6373E+0,
1092181, 3.8289E+0,
1154663, 4.0527E+0,
1217144, 4.2441E+0,
1279625, 4.4839E+0,
1342106, 4.6846E+0,
1404588, 4.9214E+0,
1467069, 5.157E+0,
1529550, 5.3376E+0,
1592031, 5.6057E+0,
1654513, 5.8037E+0,
1716994, 5.999E+0,
1779475, 6.199E+0,
1841956, 6.4856E+0,
1904438, 6.6772E+0,
1966919, 6.9063E+0,
2029400, 7.1304E+0,
2091881, 7.3384E+0,
2154363, 7.5635E+0,
2216844, 7.8E+0,
2279325, 7.9683E+0,
2341806, 8.2505E+0,
2404288, 8.4326E+0,
2466769, 8.6748E+0,
2529250, 8.8457E+0,
2591731, 9.0781E+0,
2654213, 9.2959E+0,
2716694, 9.4941E+0,
2779175, 9.7349E+0,
2841656, 9.9727E+0,
2904138, 1.0163E+1,
2966619, 1.0417E+1,
3029100, 1.0637E+1,
3091581, 1.0835E+1,
3154063, 1.1078E+1,
3216544, 1.1292E+1,
3279025, 1.1513E+1,
3341506, 1.1754E+1,
3403988, 1.1992E+1,
3466469, 1.2175E+1,
3528950, 1.2385E+1,
3591431, 1.2578E+1,
3653913, 1.2841E+1,
3716394, 1.3021E+1,
3778875, 1.3248E+1,
3841356, 1.3472E+1,
3903838, 1.3721E+1,
3966319, 1.392E+1,
4028800, 1.4154E+1,
4091281, 1.432E+1,
4153763, 1.4592E+1,
4216244, 1.4801E+1,
4278725, 1.5027E+1,
4341206, 1.5231E+1,
4403688, 1.5479E+1,
4466169, 1.569E+1,
4528650, 1.5933E+1,
4591131, 1.6121E+1,
4653613, 1.6373E+1,
4716094, 1.6597E+1,
4778575, 1.6794E+1,
4841056, 1.7035E+1,
4903538, 1.7186E+1,
4966019, 1.7425E+1,
5028500, 1.7661E+1,
5090981, 1.789E+1,
5153463, 1.8139E+1,
5215944, 1.8357E+1,
5278425, 1.8514E+1,
5340906, 1.8771E+1,
5403388, 1.9014E+1,
5465869, 1.923E+1,
5528350, 1.9424E+1,
5590831, 1.9661E+1,
5653313, 1.991E+1,
5715794, 2.0069E+1,
5778275, 2.0318E+1,
5840756, 2.0564E+1,
5903238, 2.0767E+1,
5965719, 2.0972E+1,
6028200, 2.1183E+1,
6090681, 2.1423E+1,
6153163, 2.1625E+1,
6215644, 2.1872E+1,
6278125, 2.2095E+1,
6340606, 2.2329E+1,
6403088, 2.2564E+1,
6465569, 2.2775E+1,
6528050, 2.2998E+1,
6590531, 2.3208E+1,
6653013, 2.3383E+1,
6715494, 2.3646E+1,
6777975, 2.3865E+1,
6840456, 2.4096E+1,
6902938, 2.4298E+1,
6965419, 2.4535E+1,
7027900, 2.4752E+1,
7090381, 2.4991E+1,
7152863, 2.5179E+1,
7215344, 2.5455E+1,
7277825, 2.5661E+1,
7340306, 2.5882E+1,
7402788, 2.6111E+1,
7465269, 2.6351E+1,
7527750, 2.6547E+1,
7590231, 2.6749E+1,
7652713, 2.6975E+1,
7715194, 2.7243E+1,
7777675, 2.7457E+1,
7840156, 2.7667E+1,
7902638, 2.7864E+1,
7965119, 2.8146E+1,
8027600, 2.8333E+1,
