NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"20 Aug 2018 ","16:11:09",
CHAN,MEAS,FORMAT
1,Z:R,LIN_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
30000,100000000,
POINTS, POWER, IF_BW
1601,0E0,3700
FREQUENCY,UNITS,
Hz,U,
30000, 9.4794E-1,
92481, 1.9105E+1,
154963, 2.1964E+1,
217444, 2.3535E+1,
279925, 2.3545E+1,
342406, 1.0746E+0,
404888, 1.895E+0,
467369, 2.4839E+0,
529850, 3.0015E+0,
592331, 3.2328E+0,
654813, 3.4066E+0,
717294, 3.5938E+0,
779775, 3.8888E+0,
842256, 4.3259E+0,
904738, 4.7727E+0,
967219, 5.1926E+0,
1029700, 5.6167E+0,
1092181, 5.9814E+0,
1154663, 6.3564E+0,
1217144, 6.6951E+0,
1279625, 7.0554E+0,
1342106, 7.4253E+0,
1404588, 7.7756E+0,
1467069, 8.0938E+0,
1529550, 8.4639E+0,
1592031, 8.7925E+0,
1654513, 9.0972E+0,
1716994, 9.4648E+0,
1779475, 9.8086E+0,
1841956, 1.0133E+1,
1904438, 1.0441E+1,
1966919, 1.0784E+1,
2029400, 1.1094E+1,
2091881, 1.1447E+1,
2154363, 1.1789E+1,
2216844, 1.2156E+1,
2279325, 1.2456E+1,
2341806, 1.2817E+1,
2404288, 1.3132E+1,
2466769, 1.348E+1,
2529250, 1.3833E+1,
2591731, 1.4179E+1,
2654213, 1.4516E+1,
2716694, 1.4913E+1,
2779175, 1.5156E+1,
2841656, 1.5515E+1,
2904138, 1.5843E+1,
2966619, 1.6187E+1,
3029100, 1.6486E+1,
3091581, 1.6827E+1,
3154063, 1.7221E+1,
3216544, 1.7396E+1,
3279025, 1.7787E+1,
3341506, 1.8104E+1,
3403988, 1.8477E+1,
3466469, 1.8829E+1,
3528950, 1.9204E+1,
3591431, 1.9534E+1,
3653913, 1.9837E+1,
3716394, 2.0207E+1,
3778875, 2.0525E+1,
3841356, 2.0863E+1,
3903838, 2.119E+1,
3966319, 2.1553E+1,
4028800, 2.189E+1,
4091281, 2.2185E+1,
4153763, 2.2528E+1,
4216244, 2.2855E+1,
4278725, 2.3155E+1,
4341206, 2.3527E+1,
4403688, 2.3862E+1,
4466169, 2.4204E+1,
4528650, 2.4516E+1,
4591131, 2.4877E+1,
4653613, 2.5159E+1,
4716094, 2.5551E+1,
4778575, 2.5888E+1,
4841056, 2.6207E+1,
4903538, 2.6497E+1,
4966019, 2.6873E+1,
5028500, 2.7168E+1,
5090981, 2.7509E+1,
5153463, 2.7854E+1,
5215944, 2.8167E+1,
5278425, 2.8534E+1,
5340906, 2.8841E+1,
5403388, 2.9155E+1,
5465869, 2.9491E+1,
5528350, 2.9836E+1,
5590831, 3.019E+1,
5653313, 3.0486E+1,
5715794, 3.0833E+1,
5778275, 3.1171E+1,
5840756, 3.1552E+1,
5903238, 3.1834E+1,
5965719, 3.2154E+1,
6028200, 3.2533E+1,
6090681, 3.2879E+1,
6153163, 3.3188E+1,
6215644, 3.3521E+1,
6278125, 3.3861E+1,
6340606, 3.4148E+1,
6403088, 3.4492E+1,
6465569, 3.4795E+1,
6528050, 3.5186E+1,
6590531, 3.5488E+1,
6653013, 3.5795E+1,
6715494, 3.6189E+1,
6777975, 3.6545E+1,
6840456, 3.6908E+1,
6902938, 3.7176E+1,
6965419, 3.7527E+1,
7027900, 3.7889E+1,
7090381, 3.8266E+1,
7152863, 3.8453E+1,
7215344, 3.8871E+1,
7277825, 3.9246E+1,
7340306, 3.9498E+1,
7402788, 3.9828E+1,
7465269, 4.0219E+1,
7527750, 4.0492E+1,
7590231, 4.0813E+1,
7652713, 4.1162E+1,
7715194, 4.1479E+1,
7777675, 4.1857E+1,
7840156, 4.2189E+1,
7902638, 4.2531E+1,
7965119, 4.2848E+1,
