% Version 1.00
%
% Ref Impedances: Z01: 50, Z02: 50
% 
%freq[Hz];re:Trc2_Z<-S11[Ohm];im:Trc2_Z<-S11[Ohm];
1.000000000000000E+005,3.597654126540427E-002,8.049325184777965E-001,
1.499749874937469E+005,3.613018781721736E-002,1.196996607911382E+000,
1.999499749874937E+005,4.710792942703018E-002,1.603997482875543E+000,
2.499249624812406E+005,6.416271711827393E-002,1.995527411649894E+000,
2.998999499749875E+005,7.426388260875647E-002,2.388059112420222E+000,
3.498749374687343E+005,9.140187429419239E-002,2.782695482969108E+000,
3.998499249624813E+005,1.023172437561695E-001,3.170144224998140E+000,
4.498249124562281E+005,1.162359970245001E-001,3.565843228833211E+000,
4.997998999499750E+005,1.319505685758179E-001,3.950860608103637E+000,
5.497748874437218E+005,1.448429116852744E-001,4.343123411094894E+000,
5.997498749374687E+005,1.595989276285225E-001,4.722585180543628E+000,
6.497248624312156E+005,1.780480448880718E-001,5.115430458980340E+000,
6.996998499249625E+005,2.066246109490389E-001,5.495882503618420E+000,
7.496748374187093E+005,2.199906683643283E-001,5.884208772505427E+000,
7.996498249124562E+005,2.422990655039392E-001,6.275992432596263E+000,
8.496248124062030E+005,2.643579893478822E-001,6.651209239700369E+000,
8.995997998999499E+005,2.754627563420241E-001,7.047273700258543E+000,
9.495747873936968E+005,2.970928964672557E-001,7.424121363412080E+000,
9.995497748874436E+005,3.216447797238281E-001,7.805578491083945E+000,
1.049524762381190E+006,3.415563729511210E-001,8.185798199220457E+000,
1.099499749874937E+006,3.676951159780353E-001,8.567380681210064E+000,
1.149474737368684E+006,3.947813893740572E-001,8.951653021863864E+000,
1.199449724862431E+006,4.084060606302629E-001,9.337621285952382E+000,
1.249424712356178E+006,4.425205896801617E-001,9.718225456166653E+000,
1.299399699849925E+006,4.620071745435855E-001,1.009286640093667E+001,
1.349374687343672E+006,4.872712492780876E-001,1.047561783378917E+001,
1.399349674837419E+006,5.070956663892171E-001,1.085704259327912E+001,
1.449324662331166E+006,5.352275218888507E-001,1.123493304458537E+001,
1.499299649824912E+006,5.618164065304887E-001,1.160583897298341E+001,
1.549274637318659E+006,5.922870601020255E-001,1.198869880184114E+001,
1.599249624812406E+006,6.137919901219343E-001,1.236943641488935E+001,
1.649224612306153E+006,6.351729950672330E-001,1.274490472299620E+001,
1.699199599799900E+006,6.709830493501533E-001,1.311784933278845E+001,
1.749174587293647E+006,6.932759333823885E-001,1.350370534315839E+001,
1.799149574787394E+006,7.212561407046872E-001,1.388096934081403E+001,
1.849124562281140E+006,7.529435620638947E-001,1.425253082585926E+001,
1.899099549774887E+006,7.766658097270578E-001,1.464030788205787E+001,
1.949074537268634E+006,8.156998013722133E-001,1.500474448833394E+001,
1.999049524762381E+006,8.383003071742695E-001,1.538747257496322E+001,
2.049024512256128E+006,8.671515918881046E-001,1.576025026222576E+001,
2.098999499749875E+006,8.987100951248321E-001,1.613951444457998E+001,
2.148974487243622E+006,9.368521115416788E-001,1.651141693795895E+001,
2.198949474737369E+006,9.635544778775578E-001,1.688532066625423E+001,
2.248924462231115E+006,9.895599596820844E-001,1.726023135832187E+001,
2.298899449724862E+006,1.016234055257021E+000,1.764671942235279E+001,
2.348874437218609E+006,1.052811747647838E+000,1.801265790550101E+001,
2.398849424712356E+006,1.089159011863856E+000,1.839010235033601E+001,
2.448824412206103E+006,1.127721982888678E+000,1.875425240578607E+001,
2.498799399699850E+006,1.151808323531328E+000,1.913612413978823E+001,
2.548774387193597E+006,1.182262312080456E+000,1.950932999990078E+001,
2.598749374687343E+006,1.218424363923268E+000,1.988410027846428E+001,
2.648724362181090E+006,1.257826752377173E+000,2.025425856742182E+001,
2.698699349674837E+006,1.288984178456243E+000,2.063784686923314E+001,
2.748674337168584E+006,1.325173859488745E+000,2.099889645123296E+001,
2.798649324662331E+006,1.361459470709428E+000,2.137431516215605E+001,
2.848624312156078E+006,1.394075437944115E+000,2.174488267173377E+001,
2.898599299649825E+006,1.439180555695880E+000,2.212528580212608E+001,
2.948574287143572E+006,1.475070363009579E+000,2.249704146256793E+001,
2.998549274637319E+006,1.509585002390115E+000,2.286557707173460E+001,
3.048524262131065E+006,1.552444457846129E+000,2.324303567460916E+001,
3.098499249624812E+006,1.584030248283185E+000,2.360290004018563E+001,
3.148474237118559E+006,1.615324340277608E+000,2.397855551245601E+001,
3.198449224612306E+006,1.654508011613044E+000,2.435617913879357E+001,
3.248424212106053E+006,1.696272575798830E+000,2.473677014269537E+001,
3.298399199599800E+006,1.734217304644392E+000,2.509427173120097E+001,
3.348374187093547E+006,1.770358188187317E+000,2.547442512904249E+001,
3.398349174587294E+006,1.815264590572799E+000,2.584990419359730E+001,
3.448324162081040E+006,1.858702397230919E+000,2.621696371088365E+001,
3.498299149574787E+006,1.888428971250034E+000,2.659441750840716E+001,
3.548274137068534E+006,1.939531270732518E+000,2.696531894007199E+001,
3.598249124562281E+006,1.963156007554617E+000,2.732526196351022E+001,
3.648224112056028E+006,2.008133019696911E+000,2.770091670870120E+001,
3.698199099549775E+006,2.058617076262575E+000,2.808011915710266E+001,
3.748174087043522E+006,2.096856877899262E+000,2.844706142953482E+001,
3.798149074537268E+006,2.141277250412824E+000,2.881573703985363E+001,
3.848124062031015E+006,2.172896642194195E+000,2.918924503971810E+001,
3.898099049524762E+006,2.223412789164967E+000,2.955429547548961E+001,
3.948074037018509E+006,2.260958460645818E+000,2.993315415564128E+001,
3.998049024512256E+006,2.301463507843147E+000,3.032034626260846E+001,
