        Frequency / MHz                Z1,1/abs,linear
                25.30747                       287.99136
                25.40746                       288.22185
                25.50745                       288.44667
                25.60744                       288.66582
                25.70743                       288.87928
                25.80742                       289.08707
                25.90741                       289.28916
                 26.0074                       289.48558
                26.10739                       289.67631
                26.20738                       289.86136
                26.30737                       290.04072
                26.40736                       290.21441
                26.50735                       290.38242
                26.60734                       290.54475
                26.70733                       290.70142
                26.80732                       290.85243
                26.90731                       290.99778
                 27.0073                       291.13747
                27.10729                       291.27153
                27.20728                       291.39995
                27.30727                       291.52274
                27.40726                       291.63992
                27.50725                       291.75149
                27.60724                       291.85747
                27.70723                       291.95787
                27.80722                        292.0527
                27.90721                       292.14196
                 28.0072                       292.22569
                28.10719                       292.30389
                28.20718                       292.37658
                28.30717                       292.44377
                28.40716                       292.50548
                28.50715                       292.56174
                28.60714                       292.61254
                28.70713                       292.65793
                28.80712                       292.69791
                28.90711                       292.73251
                 29.0071                       292.76174
                29.10709                       292.78564
                29.20708                       292.80421
                29.30707                       292.81749
                29.40706                        292.8255
                29.50705                       292.82826
                29.60704                        292.8258
                29.70703                       292.81814
                29.80702                       292.80531
                29.90701                       292.78734
                  30.007                       292.76425
                30.10699                       292.73607
                30.20698                       292.70283
                30.30697                       292.66456
                30.40696                       292.62128
                30.50695                       292.57304
                30.60694                       292.51985
                30.70693                       292.46176
                30.80692                       292.39879
                30.90691                       292.33097
                 31.0069                       292.25834
                31.10689                       292.18093
                31.20688                       292.09877
                31.30687                        292.0119
                31.40686                       291.92036
                31.50685                       291.82417
                31.60684                       291.72337
                31.70683                         291.618
                31.80682                        291.5081
                31.90681                       291.39369
                 32.0068                       291.27483
                32.10679                       291.15154
                32.20678                       291.02386
                32.30677                       290.89184
                32.40676                        290.7555
                32.50675                       290.61489
                32.60674                       290.47005
                32.70673                       290.32101
                32.80672                       290.16782
                32.90671                       290.01051
                 33.0067                       289.84913
                33.10669                       289.68371
                33.20668                        289.5143
                33.30667                       289.34094
                33.40666                       289.16366
                33.50665                        288.9825
                33.60664                       288.79752
                33.70663                       288.60875
                33.80662                       288.41623
                33.90661                          288.22
                 34.0066                       288.02011
                34.10659                        287.8166
                34.20658                        287.6095
                34.30657                       287.39887
                34.40656                       287.18474
                34.50655                       286.96715
                34.60654                       286.74615
                34.70653                       286.52179
                34.80652                       286.29409
                34.90651                       286.06312
                 35.0065                        285.8289
                35.10649                       285.59148
                35.20648                        285.3509
                35.30647                       285.10721
                35.40646                       284.86044
                35.50645                       284.61065
                35.60644                       284.35787
                35.70643                       284.10214
                35.80642                       283.84352
                35.90641                       283.58203
                 36.0064                       283.31772
                36.10639                       283.05064
