NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"20 Aug 2018 ","15:51:35",
CHAN,MEAS,FORMAT
1,Z:R,LIN_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
30000,100000000,
POINTS, POWER, IF_BW
1601,0E0,3700
FREQUENCY,UNITS,
Hz,U,
30000, 7.045E-1,
92481, 1.8933E+1,
154963, 2.1621E+1,
217444, 2.3055E+1,
279925, 2.288E+1,
342406, 5.5438E-1,
404888, 9.5502E-1,
467369, 1.4147E+0,
529850, 1.7892E+0,
592331, 1.887E+0,
654813, 1.9118E+0,
717294, 1.9623E+0,
779775, 2.1202E+0,
842256, 2.4414E+0,
904738, 2.7114E+0,
967219, 3.0156E+0,
1029700, 3.2903E+0,
1092181, 3.522E+0,
1154663, 3.7505E+0,
1217144, 3.9711E+0,
1279625, 4.2051E+0,
1342106, 4.4187E+0,
1404588, 4.6189E+0,
1467069, 4.8406E+0,
1529550, 5.0591E+0,
1592031, 5.2266E+0,
1654513, 5.4133E+0,
1716994, 5.6411E+0,
1779475, 5.8457E+0,
1841956, 6.0522E+0,
1904438, 6.2393E+0,
1966919, 6.4346E+0,
2029400, 6.623E+0,
2091881, 6.8574E+0,
2154363, 7.0291E+0,
2216844, 7.2346E+0,
2279325, 7.4441E+0,
2341806, 7.6672E+0,
2404288, 7.8721E+0,
2466769, 8.0825E+0,
2529250, 8.2598E+0,
2591731, 8.4849E+0,
2654213, 8.6924E+0,
2716694, 8.9434E+0,
2779175, 9.1182E+0,
2841656, 9.3369E+0,
2904138, 9.5186E+0,
2966619, 9.6943E+0,
3029100, 9.9087E+0,
3091581, 1.0091E+1,
3154063, 1.0309E+1,
3216544, 1.0484E+1,
3279025, 1.0683E+1,
3341506, 1.0837E+1,
3403988, 1.1121E+1,
3466469, 1.1291E+1,
3528950, 1.1575E+1,
3591431, 1.1758E+1,
3653913, 1.1957E+1,
3716394, 1.2165E+1,
3778875, 1.2375E+1,
3841356, 1.2591E+1,
3903838, 1.2775E+1,
3966319, 1.2988E+1,
4028800, 1.3185E+1,
4091281, 1.339E+1,
4153763, 1.362E+1,
4216244, 1.3805E+1,
4278725, 1.4009E+1,
4341206, 1.4197E+1,
4403688, 1.4411E+1,
4466169, 1.4604E+1,
4528650, 1.4812E+1,
4591131, 1.5028E+1,
4653613, 1.5222E+1,
4716094, 1.5484E+1,
4778575, 1.5617E+1,
4841056, 1.5853E+1,
4903538, 1.6046E+1,
4966019, 1.6276E+1,
5028500, 1.6467E+1,
5090981, 1.6681E+1,
5153463, 1.6893E+1,
5215944, 1.708E+1,
5278425, 1.7276E+1,
5340906, 1.7474E+1,
5403388, 1.7669E+1,
5465869, 1.7877E+1,
5528350, 1.8103E+1,
5590831, 1.8288E+1,
5653313, 1.8519E+1,
5715794, 1.8689E+1,
5778275, 1.8938E+1,
5840756, 1.9138E+1,
5903238, 1.9349E+1,
5965719, 1.9558E+1,
6028200, 1.9748E+1,
6090681, 1.998E+1,
6153163, 2.0168E+1,
6215644, 2.0348E+1,
6278125, 2.0575E+1,
6340606, 2.0775E+1,
6403088, 2.1002E+1,
6465569, 2.1197E+1,
6528050, 2.1393E+1,
6590531, 2.1615E+1,
6653013, 2.1804E+1,
6715494, 2.2059E+1,
6777975, 2.2197E+1,
6840456, 2.2474E+1,
6902938, 2.2683E+1,
6965419, 2.2867E+1,
7027900, 2.3086E+1,
7090381, 2.3261E+1,
7152863, 2.3495E+1,
7215344, 2.3693E+1,
7277825, 2.3916E+1,
7340306, 2.4096E+1,
7402788, 2.4328E+1,
7465269, 2.4524E+1,
7527750, 2.4743E+1,
7590231, 2.4936E+1,
7652713, 2.5141E+1,
7715194, 2.5359E+1,
7777675, 2.5555E+1,
7840156, 2.5778E+1,
7902638, 2.5964E+1,
7965119, 2.6177E+1,
8027600, 2.6363E+1,
