NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"23 Aug 2018 ","12:58:02",
CHAN,MEAS,FORMAT
1,Z:R,LIN_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
30000,100000000,
POINTS, POWER, IF_BW
1601,0E0,3700
FREQUENCY,UNITS,
Hz,U,
30000, 1.1317E-1,
92481, 4.3642E-1,
154963, 6.6547E-1,
217444, 9.5392E-1,
279925, 1.2073E+0,
342406, 1.4741E+0,
404888, 1.7694E+0,
467369, 1.994E+0,
529850, 2.2621E+0,
592331, 2.4904E+0,
654813, 2.7892E+0,
717294, 3.0355E+0,
779775, 3.2708E+0,
842256, 3.5452E+0,
904738, 3.8236E+0,
967219, 4.0916E+0,
1029700, 4.3506E+0,
1092181, 4.6226E+0,
1154663, 4.8782E+0,
1217144, 5.167E+0,
1279625, 5.3953E+0,
1342106, 5.6672E+0,
1404588, 5.9001E+0,
1467069, 6.1709E+0,
1529550, 6.4668E+0,
1592031, 6.7026E+0,
1654513, 6.9685E+0,
1716994, 7.2283E+0,
1779475, 7.4946E+0,
1841956, 7.8223E+0,
1904438, 8.0161E+0,
1966919, 8.313E+0,
2029400, 8.5464E+0,
2091881, 8.8296E+0,
2154363, 9.0361E+0,
2216844, 9.3301E+0,
2279325, 9.5762E+0,
2341806, 9.8682E+0,
2404288, 1.0116E+1,
2466769, 1.0334E+1,
2529250, 1.067E+1,
2591731, 1.0897E+1,
2654213, 1.1146E+1,
2716694, 1.1414E+1,
2779175, 1.17E+1,
2841656, 1.1983E+1,
2904138, 1.2186E+1,
2966619, 1.2479E+1,
3029100, 1.2729E+1,
3091581, 1.2997E+1,
3154063, 1.3247E+1,
3216544, 1.353E+1,
3279025, 1.3772E+1,
3341506, 1.4063E+1,
3403988, 1.4323E+1,
3466469, 1.4578E+1,
3528950, 1.4834E+1,
3591431, 1.512E+1,
3653913, 1.537E+1,
3716394, 1.5624E+1,
3778875, 1.5904E+1,
3841356, 1.6123E+1,
3903838, 1.641E+1,
3966319, 1.6674E+1,
4028800, 1.6909E+1,
4091281, 1.7193E+1,
4153763, 1.7476E+1,
4216244, 1.7742E+1,
4278725, 1.7975E+1,
4341206, 1.8235E+1,
4403688, 1.8501E+1,
4466169, 1.8777E+1,
4528650, 1.9018E+1,
4591131, 1.9305E+1,
4653613, 1.9537E+1,
4716094, 1.9836E+1,
4778575, 2.0096E+1,
4841056, 2.035E+1,
4903538, 2.0599E+1,
4966019, 2.0888E+1,
5028500, 2.1117E+1,
5090981, 2.1426E+1,
5153463, 2.1654E+1,
5215944, 2.1929E+1,
5278425, 2.2221E+1,
5340906, 2.2444E+1,
5403388, 2.2729E+1,
5465869, 2.2954E+1,
5528350, 2.3199E+1,
5590831, 2.354E+1,
5653313, 2.3763E+1,
5715794, 2.4041E+1,
5778275, 2.4282E+1,
5840756, 2.4594E+1,
5903238, 2.4808E+1,
5965719, 2.5082E+1,
6028200, 2.5368E+1,
6090681, 2.5649E+1,
6153163, 2.59E+1,
6215644, 2.6159E+1,
6278125, 2.6403E+1,
6340606, 2.6661E+1,
6403088, 2.6965E+1,
6465569, 2.7222E+1,
6528050, 2.7463E+1,
6590531, 2.7783E+1,
6653013, 2.7973E+1,
6715494, 2.8244E+1,
6777975, 2.851E+1,
6840456, 2.8814E+1,
6902938, 2.9077E+1,
6965419, 2.9343E+1,
7027900, 2.9605E+1,
7090381, 2.9851E+1,
7152863, 3.0146E+1,
7215344, 3.0358E+1,
7277825, 3.0617E+1,
7340306, 3.0917E+1,
7402788, 3.1205E+1,
7465269, 3.1474E+1,
7527750, 3.1728E+1,
7590231, 3.1954E+1,
7652713, 3.226E+1,
7715194, 3.249E+1,
7777675, 3.2744E+1,
7840156, 3.3066E+1,
7902638, 3.3369E+1,
7965119, 3.357E+1,
8027600, 3.3826E+1,
