NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"23 Aug 2018 ","12:30:28",
CHAN,MEAS,FORMAT
1,Z:R,LIN_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
30000,100000000,
POINTS, POWER, IF_BW
1601,0E0,3700
FREQUENCY,UNITS,
Hz,U,
30000, 8.2512E-2,
92481, 3.7991E-1,
154963, 6.2399E-1,
217444, 9.2465E-1,
279925, 1.1569E+0,
342406, 1.388E+0,
404888, 1.6874E+0,
467369, 1.9487E+0,
529850, 2.1748E+0,
592331, 2.443E+0,
654813, 2.7069E+0,
717294, 2.9385E+0,
779775, 3.2091E+0,
842256, 3.4443E+0,
904738, 3.7042E+0,
967219, 3.9745E+0,
1029700, 4.1975E+0,
1092181, 4.4846E+0,
1154663, 4.7261E+0,
1217144, 5.0352E+0,
1279625, 5.2371E+0,
1342106, 5.498E+0,
1404588, 5.7434E+0,
1467069, 5.9653E+0,
1529550, 6.2639E+0,
1592031, 6.5242E+0,
1654513, 6.7751E+0,
1716994, 7.0308E+0,
1779475, 7.2886E+0,
1841956, 7.5486E+0,
1904438, 7.7825E+0,
1966919, 8.0444E+0,
2029400, 8.2612E+0,
2091881, 8.5649E+0,
2154363, 8.771E+0,
2216844, 9.0527E+0,
2279325, 9.2729E+0,
2341806, 9.561E+0,
2404288, 9.8042E+0,
2466769, 1.0082E+1,
2529250, 1.0318E+1,
2591731, 1.0607E+1,
2654213, 1.081E+1,
2716694, 1.1084E+1,
2779175, 1.1333E+1,
2841656, 1.1589E+1,
2904138, 1.1848E+1,
2966619, 1.2104E+1,
3029100, 1.2342E+1,
3091581, 1.2598E+1,
3154063, 1.2875E+1,
3216544, 1.3119E+1,
3279025, 1.3419E+1,
3341506, 1.3667E+1,
3403988, 1.3892E+1,
3466469, 1.4147E+1,
3528950, 1.4419E+1,
3591431, 1.4658E+1,
3653913, 1.4907E+1,
3716394, 1.5158E+1,
3778875, 1.543E+1,
3841356, 1.5691E+1,
3903838, 1.5907E+1,
3966319, 1.6192E+1,
4028800, 1.6415E+1,
4091281, 1.6671E+1,
4153763, 1.6967E+1,
4216244, 1.7222E+1,
4278725, 1.7449E+1,
4341206, 1.7721E+1,
4403688, 1.7962E+1,
4466169, 1.8219E+1,
4528650, 1.85E+1,
4591131, 1.8743E+1,
4653613, 1.8976E+1,
4716094, 1.9269E+1,
4778575, 1.9506E+1,
4841056, 1.9776E+1,
4903538, 1.9987E+1,
4966019, 2.0249E+1,
5028500, 2.0512E+1,
5090981, 2.0796E+1,
5153463, 2.1024E+1,
5215944, 2.1275E+1,
5278425, 2.1551E+1,
5340906, 2.1788E+1,
5403388, 2.2078E+1,
5465869, 2.231E+1,
5528350, 2.2573E+1,
5590831, 2.2856E+1,
5653313, 2.3094E+1,
5715794, 2.3348E+1,
5778275, 2.3601E+1,
5840756, 2.387E+1,
5903238, 2.411E+1,
5965719, 2.4361E+1,
6028200, 2.4607E+1,
6090681, 2.4888E+1,
6153163, 2.5157E+1,
6215644, 2.5417E+1,
6278125, 2.5674E+1,
6340606, 2.5905E+1,
6403088, 2.6174E+1,
6465569, 2.6427E+1,
6528050, 2.6692E+1,
6590531, 2.6958E+1,
6653013, 2.7189E+1,
6715494, 2.7413E+1,
6777975, 2.7673E+1,
6840456, 2.7965E+1,
6902938, 2.8213E+1,
6965419, 2.8515E+1,
7027900, 2.8729E+1,
7090381, 2.8966E+1,
7152863, 2.9254E+1,
7215344, 2.9483E+1,
7277825, 2.9734E+1,
7340306, 2.9985E+1,
7402788, 3.0288E+1,
7465269, 3.0528E+1,
7527750, 3.0786E+1,
7590231, 3.1066E+1,
7652713, 3.1326E+1,
7715194, 3.154E+1,
7777675, 3.1785E+1,
7840156, 3.2137E+1,
7902638, 3.2371E+1,
7965119, 3.2582E+1,
8027600, 3.2898E+1,
