        Frequency / MHz                Z1,1/abs,linear
                25.30747                       158.52215
                25.40746                       158.71822
                25.50745                       158.91366
                25.60744                       159.10846
                25.70743                       159.30262
                25.80742                       159.49614
                25.90741                       159.68902
                 26.0074                       159.88125
                26.10739                       160.07283
                26.20738                       160.26375
                26.30737                       160.45403
                26.40736                       160.64364
                26.50735                        160.8326
                26.60734                       161.02089
                26.70733                       161.20851
                26.80732                       161.39547
                26.90731                       161.58175
                 27.0073                       161.76735
                27.10729                       161.95228
                27.20728                       162.13652
                27.30727                       162.32008
                27.40726                       162.50295
                27.50725                       162.68512
                27.60724                        162.8666
                27.70723                       163.04737
                27.80722                       163.22744
                27.90721                        163.4068
                 28.0072                       163.58545
                28.10719                       163.76338
                28.20718                       163.94059
                28.30717                       164.11708
                28.40716                       164.29283
                28.50715                       164.46785
                28.60714                       164.64214
                28.70713                       164.81568
                28.80712                       164.98847
                28.90711                       165.16051
                 29.0071                        165.3318
                29.10709                       165.50232
                29.20708                       165.67208
                29.30707                       165.84107
                29.40706                       166.00928
                29.50705                       166.17671
                29.60704                       166.34336
                29.70703                       166.50921
                29.80702                       166.67427
                29.90701                       166.83853
                  30.007                       167.00198
                30.10699                       167.16463
                30.20698                       167.32645
                30.30697                       167.48745
                30.40696                       167.64763
                30.50695                       167.80697
                30.60694                       167.96548
                30.70693                       168.12314
                30.80692                       168.27996
                30.90691                       168.43591
                 31.0069                       168.59101
                31.10689                       168.74524
                31.20688                        168.8986
                31.30687                       169.05109
                31.40686                       169.20269
                31.50685                        169.3534
                31.60684                       169.50322
                31.70683                       169.65213
                31.80682                       169.80014
                31.90681                       169.94724
                 32.0068                       170.09343
                32.10679                       170.23868
                32.20678                       170.38301
                32.30677                       170.52641
                32.40676                       170.66886
                32.50675                       170.81037
                32.60674                       170.95092
                32.70673                       171.09052
                32.80672                       171.22915
                32.90671                       171.36682
                 33.0067                       171.50351
                33.10669                       171.63922
                33.20668                       171.77394
                33.30667                       171.90767
                33.40666                       172.04041
                33.50665                       172.17214
                33.60664                       172.30286
                33.70663                       172.43257
                33.80662                       172.56126
                33.90661                       172.68893
                 34.0066                       172.81557
                34.10659                       172.94118
                34.20658                       173.06575
                34.30657                       173.18928
                34.40656                       173.31176
                34.50655                       173.43318
                34.60654                       173.55355
                34.70653                       173.67286
                34.80652                       173.79111
                34.90651                       173.90829
                 35.0065                       174.02439
                35.10649                       174.13942
                35.20648                       174.25337
                35.30647                       174.36624
                35.40646                       174.47802
                35.50645                       174.58872
                35.60644                       174.69832
                35.70643                       174.80683
                35.80642                       174.91425
                35.90641                       175.02057
                 36.0064                        175.1258
                36.10639                       175.22992
                36.20638                       175.33294
                36.30637                       175.43487
                36.40636                       175.53569
                36.50635                       175.63541
                36.60634                       175.73403
                36.70633                       175.83155
                36.80632                       175.92798
                36.90631                        176.0233
                 37.0063                       176.11754
                37.10629                       176.21067
                37.20628                       176.30272
                37.30627                       176.39369
                37.40626                       176.48357
                37.50625                       176.57237
                37.60624                        176.6601
                37.70623                       176.74676
                37.80622                       176.83235
                37.90621                       176.91689
                 38.0062                       177.00066
                38.10619                       177.08339
                38.20618                       177.16508
                38.30617                       177.24575
                38.40616                       177.32541
                38.50615                       177.40405
                38.60614                       177.48171
                38.70613                       177.55838
                38.80612                       177.63408
                38.90611                       177.70882
                 39.0061                       177.78262
                39.10609                       177.85549
                39.20608                       177.92744
                39.30607                        177.9985
                39.40606                       178.06867
                39.50605                       178.13798
                39.60604                       178.20644
                39.70603                       178.27408
                39.80602                       178.34091
                39.90601                       178.40696
                  40.006                       178.47225
                40.10599                        178.5368
