NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"23 Aug 2018 ","11:46:16",
CHAN,MEAS,FORMAT
1,Z:R,LIN_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
30000,100000000,
POINTS, POWER, IF_BW
1601,0E0,3700
FREQUENCY,UNITS,
Hz,U,
30000, 2.0784E-1,
92481, 4.3901E-1,
154963, 7.3529E-1,
217444, 9.7177E-1,
279925, 1.2644E+0,
342406, 1.5498E+0,
404888, 1.8147E+0,
467369, 2.1025E+0,
529850, 2.3807E+0,
592331, 2.6405E+0,
654813, 2.9137E+0,
717294, 3.2045E+0,
779775, 3.4651E+0,
842256, 3.7292E+0,
904738, 4.0042E+0,
967219, 4.2969E+0,
1029700, 4.5596E+0,
1092181, 4.8254E+0,
1154663, 5.1086E+0,
1217144, 5.3657E+0,
1279625, 5.6834E+0,
1342106, 5.9177E+0,
1404588, 6.2126E+0,
1467069, 6.4707E+0,
1529550, 6.7734E+0,
1592031, 7.0393E+0,
1654513, 7.334E+0,
1716994, 7.5649E+0,
1779475, 7.8389E+0,
1841956, 8.1563E+0,
1904438, 8.3838E+0,
1966919, 8.6958E+0,
2029400, 8.981E+0,
2091881, 9.2236E+0,
2154363, 9.5176E+0,
2216844, 9.7915E+0,
2279325, 1.0033E+1,
2341806, 1.0361E+1,
2404288, 1.0612E+1,
2466769, 1.0908E+1,
2529250, 1.1146E+1,
2591731, 1.1437E+1,
2654213, 1.1685E+1,
2716694, 1.1986E+1,
2779175, 1.2263E+1,
2841656, 1.2548E+1,
2904138, 1.2795E+1,
2966619, 1.3077E+1,
3029100, 1.3357E+1,
3091581, 1.3624E+1,
3154063, 1.3917E+1,
3216544, 1.4178E+1,
3279025, 1.4479E+1,
3341506, 1.4762E+1,
3403988, 1.5039E+1,
3466469, 1.5289E+1,
3528950, 1.5558E+1,
3591431, 1.5837E+1,
3653913, 1.6128E+1,
3716394, 1.6347E+1,
3778875, 1.6646E+1,
3841356, 1.6923E+1,
3903838, 1.7208E+1,
3966319, 1.7489E+1,
4028800, 1.7736E+1,
4091281, 1.8019E+1,
4153763, 1.8336E+1,
4216244, 1.86E+1,
4278725, 1.8865E+1,
4341206, 1.91E+1,
4403688, 1.9393E+1,
4466169, 1.9663E+1,
4528650, 1.9985E+1,
4591131, 2.022E+1,
4653613, 2.0529E+1,
4716094, 2.0797E+1,
4778575, 2.1045E+1,
4841056, 2.1324E+1,
4903538, 2.1625E+1,
4966019, 2.1884E+1,
5028500, 2.2135E+1,
5090981, 2.2414E+1,
5153463, 2.2714E+1,
5215944, 2.2998E+1,
5278425, 2.3253E+1,
5340906, 2.3547E+1,
5403388, 2.3825E+1,
5465869, 2.4057E+1,
5528350, 2.4393E+1,
5590831, 2.4649E+1,
5653313, 2.4931E+1,
5715794, 2.5178E+1,
5778275, 2.5442E+1,
5840756, 2.5791E+1,
5903238, 2.6029E+1,
5965719, 2.6324E+1,
6028200, 2.6588E+1,
6090681, 2.6835E+1,
6153163, 2.7104E+1,
6215644, 2.7422E+1,
6278125, 2.7708E+1,
6340606, 2.7995E+1,
6403088, 2.8281E+1,
6465569, 2.8557E+1,
6528050, 2.8815E+1,
6590531, 2.906E+1,
6653013, 2.9319E+1,
6715494, 2.9619E+1,
6777975, 2.9915E+1,
6840456, 3.0211E+1,
6902938, 3.0465E+1,
6965419, 3.0739E+1,
7027900, 3.1023E+1,
7090381, 3.1307E+1,
7152863, 3.1526E+1,
7215344, 3.1896E+1,
7277825, 3.216E+1,
7340306, 3.2439E+1,
7402788, 3.2711E+1,
7465269, 3.298E+1,
7527750, 3.3258E+1,
7590231, 3.3535E+1,
7652713, 3.3791E+1,
7715194, 3.41E+1,
7777675, 3.4387E+1,
7840156, 3.4662E+1,
7902638, 3.493E+1,
7965119, 3.5244E+1,
8027600, 3.5525E+1,
