NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"23 Aug 2018 ","12:49:22",
CHAN,MEAS,FORMAT
1,Z:R,LIN_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
30000,100000000,
POINTS, POWER, IF_BW
1601,0E0,3700
FREQUENCY,UNITS,
Hz,U,
30000, 1.6637E-1,
92481, 5.3427E-1,
154963, 8.8379E-1,
217444, 1.2576E+0,
279925, 1.5599E+0,
342406, 1.9376E+0,
404888, 2.2954E+0,
467369, 2.6097E+0,
529850, 2.9384E+0,
592331, 3.2839E+0,
654813, 3.6362E+0,
717294, 3.9573E+0,
779775, 4.2922E+0,
842256, 4.6228E+0,
904738, 4.9922E+0,
967219, 5.3284E+0,
1029700, 5.6541E+0,
1092181, 5.9971E+0,
1154663, 6.3335E+0,
1217144, 6.7263E+0,
1279625, 7.0142E+0,
1342106, 7.3779E+0,
1404588, 7.6992E+0,
1467069, 8.0186E+0,
1529550, 8.4048E+0,
1592031, 8.7114E+0,
1654513, 9.0449E+0,
1716994, 9.3799E+0,
1779475, 9.751E+0,
1841956, 1.0084E+1,
1904438, 1.0405E+1,
1966919, 1.0748E+1,
2029400, 1.1044E+1,
2091881, 1.1415E+1,
2154363, 1.1719E+1,
2216844, 1.2079E+1,
2279325, 1.2369E+1,
2341806, 1.2756E+1,
2404288, 1.3047E+1,
2466769, 1.3398E+1,
2529250, 1.3734E+1,
2591731, 1.4092E+1,
2654213, 1.4393E+1,
2716694, 1.4763E+1,
2779175, 1.5072E+1,
2841656, 1.5395E+1,
2904138, 1.5745E+1,
2966619, 1.6057E+1,
3029100, 1.6401E+1,
3091581, 1.6748E+1,
3154063, 1.7081E+1,
3216544, 1.7445E+1,
3279025, 1.7717E+1,
3341506, 1.811E+1,
3403988, 1.8425E+1,
3466469, 1.8749E+1,
3528950, 1.9071E+1,
3591431, 1.9431E+1,
3653913, 1.9727E+1,
3716394, 2.0099E+1,
3778875, 2.0405E+1,
3841356, 2.0738E+1,
3903838, 2.1091E+1,
3966319, 2.1399E+1,
4028800, 2.1743E+1,
4091281, 2.2066E+1,
4153763, 2.2407E+1,
4216244, 2.2761E+1,
4278725, 2.3064E+1,
4341206, 2.3448E+1,
4403688, 2.3717E+1,
4466169, 2.408E+1,
4528650, 2.4433E+1,
4591131, 2.4746E+1,
4653613, 2.5063E+1,
4716094, 2.5417E+1,
4778575, 2.5745E+1,
4841056, 2.6058E+1,
4903538, 2.6411E+1,
4966019, 2.6685E+1,
5028500, 2.7085E+1,
5090981, 2.741E+1,
5153463, 2.7714E+1,
5215944, 2.805E+1,
5278425, 2.8449E+1,
5340906, 2.8678E+1,
5403388, 2.9054E+1,
5465869, 2.9355E+1,
5528350, 2.9659E+1,
5590831, 3.0047E+1,
5653313, 3.0365E+1,
5715794, 3.0716E+1,
5778275, 3.1026E+1,
5840756, 3.1365E+1,
5903238, 3.1685E+1,
5965719, 3.2031E+1,
6028200, 3.2342E+1,
6090681, 3.2854E+1,
6153163, 3.2979E+1,
6215644, 3.3363E+1,
6278125, 3.374E+1,
6340606, 3.3988E+1,
6403088, 3.4357E+1,
6465569, 3.4721E+1,
6528050, 3.501E+1,
6590531, 3.5348E+1,
6653013, 3.567E+1,
6715494, 3.6041E+1,
6777975, 3.6365E+1,
6840456, 3.6705E+1,
6902938, 3.6984E+1,
6965419, 3.7334E+1,
7027900, 3.7691E+1,
7090381, 3.7994E+1,
7152863, 3.8336E+1,
7215344, 3.8637E+1,
7277825, 3.9006E+1,
7340306, 3.9342E+1,
7402788, 3.9689E+1,
7465269, 3.9988E+1,
7527750, 4.0326E+1,
7590231, 4.0613E+1,
7652713, 4.1021E+1,
7715194, 4.1328E+1,
7777675, 4.1566E+1,
7840156, 4.2037E+1,
7902638, 4.2371E+1,
7965119, 4.2695E+1,
8027600, 4.3002E+1,
