NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"23 Aug 2018 ","11:12:36",
CHAN,MEAS,FORMAT
1,Z:R,LIN_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
30000,100000000,
POINTS, POWER, IF_BW
1601,0E0,3700
FREQUENCY,UNITS,
Hz,U,
30000, 1.3574E-1,
92481, 5.466E-1,
154963, 9.0173E-1,
217444, 1.2624E+0,
279925, 1.5829E+0,
342406, 1.9562E+0,
404888, 2.3292E+0,
467369, 2.6648E+0,
529850, 3.0209E+0,
592331, 3.3709E+0,
654813, 3.6904E+0,
717294, 4.0664E+0,
779775, 4.3958E+0,
842256, 4.7554E+0,
904738, 5.0833E+0,
967219, 5.4353E+0,
1029700, 5.7832E+0,
1092181, 6.1404E+0,
1154663, 6.4543E+0,
1217144, 6.801E+0,
1279625, 7.1606E+0,
1342106, 7.5051E+0,
1404588, 7.8459E+0,
1467069, 8.2178E+0,
1529550, 8.5562E+0,
1592031, 8.9277E+0,
1654513, 9.2266E+0,
1716994, 9.5718E+0,
1779475, 9.8682E+0,
1841956, 1.0267E+1,
1904438, 1.0601E+1,
1966919, 1.0967E+1,
2029400, 1.1308E+1,
2091881, 1.1611E+1,
2154363, 1.1979E+1,
2216844, 1.2309E+1,
2279325, 1.2608E+1,
2341806, 1.3009E+1,
2404288, 1.3326E+1,
2466769, 1.3726E+1,
2529250, 1.402E+1,
2591731, 1.4352E+1,
2654213, 1.4676E+1,
2716694, 1.5025E+1,
2779175, 1.5396E+1,
2841656, 1.5759E+1,
2904138, 1.6014E+1,
2966619, 1.64E+1,
3029100, 1.6744E+1,
3091581, 1.7088E+1,
3154063, 1.7421E+1,
3216544, 1.7763E+1,
3279025, 1.8101E+1,
3341506, 1.8421E+1,
3403988, 1.8799E+1,
3466469, 1.9123E+1,
3528950, 1.9476E+1,
3591431, 1.9792E+1,
3653913, 2.013E+1,
3716394, 2.0463E+1,
3778875, 2.0814E+1,
3841356, 2.116E+1,
3903838, 2.1513E+1,
3966319, 2.1807E+1,
4028800, 2.2144E+1,
4091281, 2.2496E+1,
4153763, 2.2851E+1,
4216244, 2.318E+1,
4278725, 2.3542E+1,
4341206, 2.3854E+1,
4403688, 2.4211E+1,
4466169, 2.4528E+1,
4528650, 2.4869E+1,
4591131, 2.5217E+1,
4653613, 2.5575E+1,
4716094, 2.5897E+1,
4778575, 2.6249E+1,
4841056, 2.6575E+1,
4903538, 2.6895E+1,
4966019, 2.7267E+1,
5028500, 2.7572E+1,
5090981, 2.7921E+1,
5153463, 2.8278E+1,
5215944, 2.8603E+1,
5278425, 2.8942E+1,
5340906, 2.9238E+1,
5403388, 2.9592E+1,
5465869, 2.9924E+1,
5528350, 3.0314E+1,
5590831, 3.0602E+1,
5653313, 3.092E+1,
5715794, 3.1248E+1,
5778275, 3.1625E+1,
5840756, 3.199E+1,
5903238, 3.2307E+1,
5965719, 3.2648E+1,
6028200, 3.2963E+1,
6090681, 3.3316E+1,
6153163, 3.3656E+1,
6215644, 3.3973E+1,
6278125, 3.4336E+1,
6340606, 3.4689E+1,
6403088, 3.5025E+1,
6465569, 3.5355E+1,
6528050, 3.5732E+1,
6590531, 3.6008E+1,
6653013, 3.6348E+1,
6715494, 3.6645E+1,
6777975, 3.7037E+1,
6840456, 3.7383E+1,
6902938, 3.7666E+1,
6965419, 3.8033E+1,
7027900, 3.8422E+1,
7090381, 3.8707E+1,
7152863, 3.8998E+1,
7215344, 3.9385E+1,
7277825, 3.9746E+1,
7340306, 4.0068E+1,
7402788, 4.0434E+1,
7465269, 4.0756E+1,
7527750, 4.1064E+1,
7590231, 4.1416E+1,
7652713, 4.1781E+1,
7715194, 4.2078E+1,
7777675, 4.2463E+1,
7840156, 4.2789E+1,
7902638, 4.3078E+1,
7965119, 4.3484E+1,
8027600, 4.3805E+1,
