NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"23 Aug 2018 ","11:22:42",
CHAN,MEAS,FORMAT
1,Z:R,LIN_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
30000,100000000,
POINTS, POWER, IF_BW
1601,0E0,3700
FREQUENCY,UNITS,
Hz,U,
30000, 1.5817E-1,
92481, 4.0546E-1,
154963, 7.019E-1,
217444, 9.584E-1,
279925, 1.2092E+0,
342406, 1.4717E+0,
404888, 1.7672E+0,
467369, 2.0259E+0,
529850, 2.3241E+0,
592331, 2.5608E+0,
654813, 2.827E+0,
717294, 3.0903E+0,
779775, 3.3461E+0,
842256, 3.6018E+0,
904738, 3.8719E+0,
967219, 4.1472E+0,
1029700, 4.4172E+0,
1092181, 4.7026E+0,
1154663, 4.9658E+0,
1217144, 5.1902E+0,
1279625, 5.4976E+0,
1342106, 5.7537E+0,
1404588, 6.0161E+0,
1467069, 6.2871E+0,
1529550, 6.5696E+0,
1592031, 6.825E+0,
1654513, 7.084E+0,
1716994, 7.3953E+0,
1779475, 7.5923E+0,
1841956, 7.9089E+0,
1904438, 8.1753E+0,
1966919, 8.4434E+0,
2029400, 8.688E+0,
2091881, 8.9883E+0,
2154363, 9.2134E+0,
2216844, 9.5015E+0,
2279325, 9.7285E+0,
2341806, 1.0032E+1,
2404288, 1.0273E+1,
2466769, 1.0575E+1,
2529250, 1.0816E+1,
2591731, 1.1093E+1,
2654213, 1.1318E+1,
2716694, 1.1531E+1,
2779175, 1.1898E+1,
2841656, 1.2168E+1,
2904138, 1.2371E+1,
2966619, 1.2662E+1,
3029100, 1.2951E+1,
3091581, 1.3228E+1,
3154063, 1.3522E+1,
3216544, 1.3828E+1,
3279025, 1.4007E+1,
3341506, 1.4294E+1,
3403988, 1.4521E+1,
3466469, 1.481E+1,
3528950, 1.5039E+1,
3591431, 1.5353E+1,
3653913, 1.5613E+1,
3716394, 1.5857E+1,
3778875, 1.614E+1,
3841356, 1.6432E+1,
3903838, 1.6674E+1,
3966319, 1.6936E+1,
4028800, 1.7182E+1,
4091281, 1.7428E+1,
4153763, 1.7746E+1,
4216244, 1.8037E+1,
4278725, 1.8255E+1,
4341206, 1.8545E+1,
4403688, 1.882E+1,
4466169, 1.9113E+1,
4528650, 1.9332E+1,
4591131, 1.9565E+1,
4653613, 1.9888E+1,
4716094, 2.0144E+1,
4778575, 2.0426E+1,
4841056, 2.0698E+1,
4903538, 2.0926E+1,
4966019, 2.1197E+1,
5028500, 2.141E+1,
5090981, 2.1753E+1,
5153463, 2.2013E+1,
5215944, 2.2277E+1,
5278425, 2.2524E+1,
5340906, 2.2818E+1,
5403388, 2.3092E+1,
5465869, 2.3337E+1,
5528350, 2.3627E+1,
5590831, 2.3901E+1,
5653313, 2.4157E+1,
5715794, 2.4398E+1,
5778275, 2.468E+1,
5840756, 2.4945E+1,
5903238, 2.5211E+1,
5965719, 2.5504E+1,
6028200, 2.5744E+1,
6090681, 2.6025E+1,
6153163, 2.6262E+1,
6215644, 2.6558E+1,
6278125, 2.6848E+1,
6340606, 2.7094E+1,
6403088, 2.7391E+1,
6465569, 2.7671E+1,
6528050, 2.7941E+1,
6590531, 2.8162E+1,
6653013, 2.8386E+1,
6715494, 2.8703E+1,
6777975, 2.8965E+1,
6840456, 2.9283E+1,
6902938, 2.9499E+1,
6965419, 2.975E+1,
7027900, 3.0063E+1,
7090381, 3.0326E+1,
7152863, 3.0596E+1,
7215344, 3.0846E+1,
7277825, 3.1154E+1,
7340306, 3.142E+1,
7402788, 3.1694E+1,
7465269, 3.1984E+1,
7527750, 3.2211E+1,
7590231, 3.249E+1,
7652713, 3.2775E+1,
7715194, 3.3014E+1,
7777675, 3.3359E+1,
7840156, 3.3568E+1,
7902638, 3.3811E+1,
7965119, 3.4156E+1,
8027600, 3.4371E+1,
