NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"23 Aug 2018 ","09:59:43",
CHAN,MEAS,FORMAT
1,Z:R,LIN_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
30000,100000000,
POINTS, POWER, IF_BW
1601,0E0,3700
FREQUENCY,UNITS,
Hz,U,
30000, 1.7353E-1,
92481, 7.2152E+3,
154963, 5.7669E-1,
217444, 3.2706E+3,
279925, 9.7366E-1,
342406, 2.0655E+3,
404888, 1.4382E+0,
467369, 1.5466E+3,
529850, 1.8485E+0,
592331, 1.2001E+3,
654813, 2.2682E+0,
717294, 9.97E+2,
779775, 2.7313E+0,
842256, 8.4559E+2,
904738, 3.1561E+0,
967219, 7.4053E+2,
1029700, 3.5891E+0,
1092181, 6.5419E+2,
1154663, 4.0505E+0,
1217144, 5.8716E+2,
1279625, 4.4719E+0,
1342106, 5.3275E+2,
1404588, 4.9116E+0,
1467069, 4.8992E+2,
1529550, 5.3137E+0,
1592031, 4.5348E+2,
1654513, 5.7747E+0,
1716994, 4.185E+2,
1779475, 6.2141E+0,
1841956, 3.9034E+2,
1904438, 6.627E+0,
1966919, 3.6391E+2,
2029400, 7.0313E+0,
2091881, 3.44E+2,
2154363, 7.479E+0,
2216844, 3.2492E+2,
2279325, 7.9727E+0,
2341806, 3.0755E+2,
2404288, 8.3887E+0,
2466769, 2.9159E+2,
2529250, 8.7656E+0,
2591731, 2.7663E+2,
2654213, 9.2603E+0,
2716694, 2.6528E+2,
2779175, 9.6294E+0,
2841656, 2.5341E+2,
2904138, 1.0109E+1,
2966619, 2.4231E+2,
3029100, 1.0515E+1,
3091581, 2.3228E+2,
3154063, 1.0968E+1,
3216544, 2.2359E+2,
3279025, 1.1424E+1,
3341506, 2.1539E+2,
3403988, 1.1826E+1,
3466469, 2.0764E+2,
3528950, 1.2274E+1,
3591431, 2.0039E+2,
3653913, 1.2695E+1,
3716394, 1.9303E+2,
3778875, 1.3141E+1,
3841356, 1.8702E+2,
3903838, 1.3576E+1,
3966319, 1.8117E+2,
4028800, 1.4014E+1,
4091281, 1.7586E+2,
4153763, 1.4426E+1,
4216244, 1.7013E+2,
4278725, 1.4899E+1,
4341206, 1.6564E+2,
4403688, 1.5305E+1,
4466169, 1.6118E+2,
4528650, 1.5782E+1,
4591131, 1.5631E+2,
4653613, 1.6211E+1,
4716094, 1.5252E+2,
4778575, 1.6624E+1,
4841056, 1.4836E+2,
4903538, 1.7036E+1,
4966019, 1.4485E+2,
5028500, 1.7464E+1,
5090981, 1.4098E+2,
5153463, 1.7922E+1,
5215944, 1.3772E+2,
5278425, 1.8389E+1,
5340906, 1.3461E+2,
5403388, 1.878E+1,
5465869, 1.3131E+2,
5528350, 1.9266E+1,
5590831, 1.2834E+2,
5653313, 1.9696E+1,
5715794, 1.257E+2,
5778275, 2.0149E+1,
5840756, 1.2293E+2,
5903238, 2.0542E+1,
5965719, 1.2019E+2,
6028200, 2.0993E+1,
6090681, 1.1773E+2,
6153163, 2.1399E+1,
6215644, 1.1518E+2,
6278125, 2.1915E+1,
6340606, 1.1287E+2,
6403088, 2.2314E+1,
6465569, 1.111E+2,
6528050, 2.2769E+1,
6590531, 1.0875E+2,
6653013, 2.3198E+1,
6715494, 1.0675E+2,
6777975, 2.3689E+1,
6840456, 1.0461E+2,
6902938, 2.4071E+1,
6965419, 1.0294E+2,
7027900, 2.4524E+1,
7090381, 1.0102E+2,
7152863, 2.4967E+1,
7215344, 9.9164E+1,
7277825, 2.5421E+1,
7340306, 9.7625E+1,
7402788, 2.5852E+1,
7465269, 9.5867E+1,
7527750, 2.6274E+1,
7590231, 9.4242E+1,
7652713, 2.669E+1,
7715194, 9.2602E+1,
7777675, 2.7156E+1,
7840156, 9.1129E+1,
7902638, 2.764E+1,
7965119, 8.9746E+1,
8027600, 2.803E+1,
