NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"20 Aug 2018 ","16:51:50",
CHAN,MEAS,FORMAT
1,Z:R,LIN_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
30000,100000000,
POINTS, POWER, IF_BW
1601,0E0,3700
FREQUENCY,UNITS,
Hz,U,
30000, 8.96E-1,
92481, 1.8987E+1,
154963, 2.1712E+1,
217444, 2.3165E+1,
279925, 2.3002E+1,
342406, 5.8856E-1,
404888, 1.1623E+0,
467369, 1.6493E+0,
529850, 2.0413E+0,
592331, 2.1786E+0,
654813, 2.2551E+0,
717294, 2.3175E+0,
779775, 2.4967E+0,
842256, 2.8418E+0,
904738, 3.1803E+0,
967219, 3.4982E+0,
1029700, 3.8053E+0,
1092181, 4.0623E+0,
1154663, 4.3306E+0,
1217144, 4.5769E+0,
1279625, 4.8308E+0,
1342106, 5.074E+0,
1404588, 5.3125E+0,
1467069, 5.5576E+0,
1529550, 5.7815E+0,
1592031, 6.0313E+0,
1654513, 6.2212E+0,
1716994, 6.4841E+0,
1779475, 6.7034E+0,
1841956, 6.9604E+0,
1904438, 7.1558E+0,
1966919, 7.3762E+0,
2029400, 7.606E+0,
2091881, 7.8689E+0,
2154363, 8.0957E+0,
2216844, 8.3389E+0,
2279325, 8.5708E+0,
2341806, 8.8105E+0,
2404288, 9.0469E+0,
2466769, 9.269E+0,
2529250, 9.5298E+0,
2591731, 9.7632E+0,
2654213, 9.9814E+0,
2716694, 1.0222E+1,
2779175, 1.0462E+1,
2841656, 1.0707E+1,
2904138, 1.0902E+1,
2966619, 1.1152E+1,
3029100, 1.1403E+1,
3091581, 1.1611E+1,
3154063, 1.1853E+1,
3216544, 1.2042E+1,
3279025, 1.2267E+1,
3341506, 1.2458E+1,
3403988, 1.2747E+1,
3466469, 1.299E+1,
3528950, 1.326E+1,
3591431, 1.3509E+1,
3653913, 1.3729E+1,
3716394, 1.3957E+1,
3778875, 1.4182E+1,
3841356, 1.4455E+1,
3903838, 1.4651E+1,
3966319, 1.4879E+1,
4028800, 1.5129E+1,
4091281, 1.5366E+1,
4153763, 1.5581E+1,
4216244, 1.5834E+1,
4278725, 1.6069E+1,
4341206, 1.6263E+1,
4403688, 1.6551E+1,
4466169, 1.6751E+1,
4528650, 1.7035E+1,
4591131, 1.7253E+1,
4653613, 1.7505E+1,
4716094, 1.7744E+1,
4778575, 1.7958E+1,
4841056, 1.819E+1,
4903538, 1.8451E+1,
4966019, 1.8648E+1,
5028500, 1.887E+1,
5090981, 1.9124E+1,
5153463, 1.9338E+1,
5215944, 1.9589E+1,
5278425, 1.9824E+1,
5340906, 2.0044E+1,
5403388, 2.027E+1,
5465869, 2.0492E+1,
5528350, 2.0758E+1,
5590831, 2.0978E+1,
5653313, 2.121E+1,
5715794, 2.1463E+1,
5778275, 2.1729E+1,
5840756, 2.193E+1,
5903238, 2.2187E+1,
5965719, 2.2431E+1,
6028200, 2.2675E+1,
6090681, 2.2883E+1,
6153163, 2.3145E+1,
6215644, 2.3367E+1,
6278125, 2.359E+1,
6340606, 2.3828E+1,
6403088, 2.4069E+1,
6465569, 2.4322E+1,
6528050, 2.4558E+1,
6590531, 2.4777E+1,
6653013, 2.4985E+1,
6715494, 2.5271E+1,
6777975, 2.5491E+1,
6840456, 2.5748E+1,
6902938, 2.5965E+1,
6965419, 2.6261E+1,
7027900, 2.6474E+1,
7090381, 2.6706E+1,
7152863, 2.6932E+1,
7215344, 2.7197E+1,
7277825, 2.7431E+1,
7340306, 2.7621E+1,
7402788, 2.7905E+1,
7465269, 2.8099E+1,
7527750, 2.837E+1,
7590231, 2.8577E+1,
7652713, 2.884E+1,
7715194, 2.9041E+1,
7777675, 2.9288E+1,
7840156, 2.9535E+1,
7902638, 2.978E+1,
7965119, 3.0048E+1,
8027600, 3.0271E+1,
