NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"23 Aug 2018 ","10:12:44",
CHAN,MEAS,FORMAT
1,Z:R,LIN_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
30000,100000000,
POINTS, POWER, IF_BW
801,0E0,3700
FREQUENCY,UNITS,
Hz,U,
27146863, 1.0379E+2,
27271825, 1.0427E+2,
27396788, 1.0503E+2,
27521750, 1.0542E+2,
27646713, 1.0593E+2,
27771675, 1.0659E+2,
27896638, 1.0718E+2,
28021600, 1.0778E+2,
28146563, 1.084E+2,
28271525, 1.0901E+2,
28396488, 1.0947E+2,
28521450, 1.1009E+2,
28646413, 1.1079E+2,
28771375, 1.1141E+2,
28896338, 1.1209E+2,
29021300, 1.1262E+2,
29146263, 1.133E+2,
29271225, 1.137E+2,
29396188, 1.1443E+2,
29521150, 1.1495E+2,
29646113, 1.1572E+2,
29771075, 1.1636E+2,
29896038, 1.168E+2,
30021000, 1.1745E+2,
30145963, 1.1812E+2,
30270925, 1.1862E+2,
30395888, 1.1957E+2,
30520850, 1.1997E+2,
30645813, 1.2051E+2,
30770775, 1.2122E+2,
30895738, 1.2191E+2,
31020700, 1.2269E+2,
31145663, 1.2323E+2,
31270625, 1.2371E+2,
31395588, 1.2455E+2,
31520550, 1.2515E+2,
31645513, 1.2581E+2,
31770475, 1.2645E+2,
31895438, 1.2713E+2,
32020400, 1.2776E+2,
32145363, 1.2865E+2,
32270325, 1.2909E+2,
32395288, 1.2962E+2,
32520250, 1.3038E+2,
32645213, 1.3079E+2,
32770175, 1.318E+2,
32895138, 1.3251E+2,
33020100, 1.3309E+2,
33145063, 1.3361E+2,
33270025, 1.3436E+2,
33394988, 1.3492E+2,
33519950, 1.3609E+2,
33644913, 1.3657E+2,
33769875, 1.3709E+2,
33894838, 1.3793E+2,
34019800, 1.3859E+2,
34144763, 1.3913E+2,
34269725, 1.3995E+2,
34394688, 1.4047E+2,
34519650, 1.4131E+2,
34644613, 1.4187E+2,
34769575, 1.429E+2,
34894538, 1.4345E+2,
35019500, 1.4427E+2,
35144463, 1.447E+2,
35269425, 1.4574E+2,
35394388, 1.4646E+2,
35519350, 1.4685E+2,
35644313, 1.4763E+2,
35769275, 1.4848E+2,
35894238, 1.4911E+2,
36019200, 1.4991E+2,
36144163, 1.5082E+2,
36269125, 1.5144E+2,
36394088, 1.5215E+2,
36519050, 1.528E+2,
36644013, 1.538E+2,
36768975, 1.5428E+2,
36893938, 1.5523E+2,
37018900, 1.5595E+2,
37143863, 1.5674E+2,
37268825, 1.5751E+2,
37393788, 1.5816E+2,
37518750, 1.5918E+2,
37643713, 1.599E+2,
37768675, 1.6026E+2,
37893638, 1.6135E+2,
38018600, 1.6205E+2,
38143563, 1.6272E+2,
38268525, 1.6363E+2,
38393488, 1.6428E+2,
38518450, 1.6526E+2,
38643413, 1.6597E+2,
38768375, 1.6662E+2,
38893338, 1.6795E+2,
39018300, 1.6845E+2,
39143263, 1.6913E+2,
39268225, 1.7025E+2,
39393188, 1.7103E+2,
39518150, 1.7211E+2,
39643113, 1.7275E+2,
39768075, 1.7348E+2,
39893038, 1.7433E+2,
40018000, 1.7514E+2,
40142963, 1.7569E+2,
40267925, 1.7684E+2,
40392888, 1.7778E+2,
40517850, 1.7855E+2,
40642813, 1.7982E+2,
40767775, 1.803E+2,
40892738, 1.8132E+2,
41017700, 1.8241E+2,
41142663, 1.828E+2,
41267625, 1.8391E+2,
41392588, 1.8488E+2,
41517550, 1.8579E+2,
41642513, 1.8657E+2,
41767475, 1.8749E+2,
41892438, 1.883E+2,
42017400, 1.8952E+2,
42142363, 1.9045E+2,
42267325, 1.9163E+2,
42392288, 1.9213E+2,
42517250, 1.9313E+2,
42642213, 1.938E+2,
42767175, 1.9495E+2,
42892138, 1.9588E+2,
43017100, 1.964E+2,
43142063, 1.9779E+2,
43267025, 1.9875E+2,
43391988, 1.9964E+2,
43516950, 2.0038E+2,
43641913, 2.0155E+2,
43766875, 2.0257E+2,
43891838, 2.0357E+2,
44016800, 2.0467E+2,
44141763, 2.0558E+2,
44266725, 2.0691E+2,
44391688, 2.0736E+2,
44516650, 2.0839E+2,
44641613, 2.0973E+2,
44766575, 2.1088E+2,
44891538, 2.1116E+2,
45016500, 2.1239E+2,
45141463, 2.1334E+2,
45266425, 2.1459E+2,
45391388, 2.1609E+2,
45516350, 2.17E+2,
45641313, 2.1769E+2,
45766275, 2.1913E+2,
45891238, 2.198E+2,
46016200, 2.2091E+2,
46141163, 2.2223E+2,
46266125, 2.2363E+2,
46391088, 2.2406E+2,
46516050, 2.2528E+2,
46641013, 2.2704E+2,
46765975, 2.2792E+2,
46890938, 2.2948E+2,
47015900, 2.3107E+2,
47140863, 2.3113E+2,
47265825, 2.329E+2,
47390788, 2.3409E+2,
47515750, 2.3538E+2,
47640713, 2.3591E+2,
47765675, 2.3756E+2,
47890638, 2.3898E+2,
48015600, 2.3984E+2,
48140563, 2.4197E+2,
48265525, 2.4255E+2,
48390488, 2.4398E+2,
48515450, 2.4495E+2,
48640413, 2.4672E+2,
48765375, 2.4811E+2,
48890338, 2.4895E+2,
49015300, 2.4984E+2,
49140263, 2.522E+2,
49265225, 2.5317E+2,
49390188, 2.5472E+2,
49515150, 2.5585E+2,
49640113, 2.5736E+2,
49765075, 2.5894E+2,
49890038, 2.5983E+2,
50015000, 2.6131E+2,
50139963, 2.6264E+2,
50264925, 2.6408E+2,
50389888, 2.6569E+2,
50514850, 2.6603E+2,
50639813, 2.6825E+2,
50764775, 2.6883E+2,
50889738, 2.7058E+2,
51014700, 2.7241E+2,
51139663, 2.7355E+2,
51264625, 2.7442E+2,
51389588, 2.7552E+2,
51514550, 2.7652E+2,
51639513, 2.7777E+2,
51764475, 2.7817E+2,
51889438, 2.7933E+2,
52014400, 2.803E+2,
52139363, 2.8063E+2,
52264325, 2.8144E+2,
52389288, 2.8369E+2,
52514250, 2.8383E+2,
52639213, 2.8441E+2,
52764175, 2.8555E+2,
52889138, 2.868E+2,
53014100, 2.8897E+2,
53139063, 2.8958E+2,
53264025, 2.9111E+2,
53388988, 2.9366E+2,
53513950, 2.9498E+2,
53638913, 2.9497E+2,
53763875, 2.9691E+2,
53888838, 2.9838E+2,
54013800, 2.9975E+2,
54138763, 3.0256E+2,
54263725, 3.0322E+2,
54388688, 3.0488E+2,
54513650, 3.0695E+2,
54638613, 3.0836E+2,
54763575, 3.0953E+2,
54888538, 3.133E+2,
55013500, 3.1477E+2,
55138463, 3.1547E+2,
55263425, 3.1675E+2,
55388388, 3.1855E+2,
55513350, 3.2086E+2,
55638313, 3.2173E+2,
55763275, 3.2377E+2,
55888238, 3.2602E+2,
56013200, 3.2778E+2,
56138163, 3.2963E+2,
56263125, 3.3133E+2,
56388088, 3.3294E+2,
56513050, 3.3553E+2,
56638013, 3.3608E+2,
56762975, 3.3898E+2,
56887938, 3.4131E+2,
57012900, 3.427E+2,
57137863, 3.4405E+2,
57262825, 3.4723E+2,
57387788, 3.4878E+2,
57512750, 3.503E+2,
57637713, 3.5191E+2,
57762675, 3.5506E+2,
57887638, 3.5658E+2,
58012600, 3.595E+2,
58137563, 3.62E+2,
58262525, 3.6253E+2,
58387488, 3.6592E+2,
58512450, 3.6827E+2,
58637413, 3.6931E+2,
58762375, 3.7067E+2,
58887338, 3.7459E+2,
59012300, 3.7691E+2,
59137263, 3.792E+2,
59262225, 3.8163E+2,
59387188, 3.8423E+2,
59512150, 3.8564E+2,
59637113, 3.8714E+2,
59762075, 3.9E+2,
59887038, 3.9275E+2,
60012000, 3.9572E+2,
60136963, 3.97E+2,
60261925, 4.0053E+2,
60386888, 4.0347E+2,
60511850, 4.04E+2,
60636813, 4.0845E+2,
60761775, 4.1042E+2,
60886738, 4.1238E+2,
61011700, 4.1472E+2,
61136663, 4.1822E+2,
61261625, 4.2231E+2,
61386588, 4.2455E+2,
61511550, 4.2519E+2,
61636513, 4.2931E+2,
61761475, 4.3169E+2,
61886438, 4.3478E+2,
62011400, 4.3686E+2,
62136363, 4.3897E+2,
62261325, 4.4433E+2,
62386288, 4.4839E+2,
62511250, 4.5003E+2,
62636213, 4.5095E+2,
62761175, 4.5833E+2,
62886138, 4.567E+2,
63011100, 4.6105E+2,
63136063, 4.6541E+2,
63261025, 4.6886E+2,
63385988, 4.7128E+2,
63510950, 4.788E+2,
63635913, 4.7819E+2,
63760875, 4.8084E+2,
63885838, 4.8686E+2,
64010800, 4.8673E+2,
64135763, 4.9411E+2,
64260725, 4.9461E+2,
64385688, 4.9855E+2,
64510650, 5.0008E+2,
64635613, 5.053E+2,
64760575, 5.1097E+2,
64885538, 5.1422E+2,
65010500, 5.1581E+2,
65135463, 5.2244E+2,
65260425, 5.2691E+2,
65385388, 5.2844E+2,
65510350, 5.3206E+2,
65635313, 5.3684E+2,
65760275, 5.3888E+2,
65885238, 5.4506E+2,
66010200, 5.5088E+2,
66135163, 5.5641E+2,
66260125, 5.5891E+2,
66385088, 5.605E+2,
66510050, 5.6769E+2,
66635013, 5.6778E+2,
66759975, 5.75E+2,
66884938, 5.8088E+2,
67009900, 5.84E+2,
67134863, 5.9228E+2,
67259825, 5.9372E+2,
67384788, 5.9806E+2,
67509750, 6.04E+2,
67634713, 6.0981E+2,
67759675, 6.1369E+2,
67884638, 6.16E+2,
68009600, 6.2588E+2,
68134563, 6.3128E+2,
68259525, 6.3884E+2,
68384488, 6.4409E+2,
68509450, 6.4647E+2,
68634413, 6.5444E+2,
68759375, 6.5797E+2,
68884338, 6.6525E+2,
